StuID,checkinTime,ProofPath,checkinType,IsSuc,checkinResult
201416920101,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920102,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920104,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920105,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920106,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416920215,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920217,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920218,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920219,2017-05-28 14:35:05,self.uploadPath(),Auto,True,出勤
201416920220,2017-05-28 14:35:05,self.uploadPath(),Auto,True,出勤
201412030210,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920401,2017-05-28 14:35:05,self.uploadPath(),Auto,True,出勤
201416920403,2017-05-28 14:35:05,self.uploadPath(),Auto,False,迟到
201416920405,2017-05-28 14:35:05,self.uploadPath(),Auto,False,迟到
201416920406,2017-05-28 14:35:05,self.uploadPath(),Auto,True,出勤
201416920508,2017-05-28 14:35:05,self.uploadPath(),Random,True,异常
201416920509,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416920510,2017-05-28 14:35:05,self.uploadPath(),Auto,False,迟到
201416920511,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416920512,2017-05-28 14:35:05,self.uploadPath(),Auto,False,迟到
201413040325,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416070325,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416920616,2017-05-28 14:35:05,self.uploadPath(),Random,True,异常
201416920618,2017-05-28 14:35:05,self.uploadPath(),Auto,True,出勤
201416920619,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416010104,2017-05-28 14:35:05,self.uploadPath(),Auto,False,缺勤
201416010105,2017-05-28 14:35:05,self.uploadPath(),Random,True,异常
201416010106,2017-05-28 14:35:05,self.uploadPath(),Random,False,异常
201416010107,2017-05-28 14:35:05,self.uploadPath(),Random,True,异常
201416010108,2017-05-28 14:35:05,self.uploadPath(),Random,True,异常
