StuID,checkinTime,ProofPath,checkinType,IsSuc,checkinResult
201416920220,2017-07-04 22:35:54,none,Auto,False,
201416920220,2017-07-04 22:35:54,none,Random,True,
201412030210,2017-07-04 22:35:54,none,Auto,True,
201412030210,2017-07-04 22:35:54,none,Random,False,
201416920401,2017-07-04 22:15:54,none,Auto,False,
201416920401,2017-07-04 22:15:54,none,Random,True,

201416920220,2017-07-04 22:35:54,none,Auto,False,迟到
201412030210,2017-07-04 22:35:54,none,Auto,True,迟到
201416920401,2017-07-04 22:15:54,none,Auto,False,出勤

