StuID,checkinTime,ProofPath,checkinType,IsSuc,checkinResult
201416920101,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
201416920102,2017-06-03 11:21:49,self.uploadPath(),Auto,False,none
201416920102,2017-06-03 11:21:49,self.uploadPath(),Auto,False,none
201416920102,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
201416920104,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
201416920106,2017-06-03 11:21:49,self.uploadPath(),Auto,False,none
201416920106,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
201416920215,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
201416920217,2017-06-03 11:21:49,self.uploadPath(),Auto,False,none
201416920217,2017-06-03 11:21:49,self.uploadPath(),Auto,True,none
